

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
116.298  000.214  000.214: require('nvim-autopairs.completion.handlers')
116.300  000.452  000.238: require('nvim-autopairs.completion.cmp')
116.304  008.665  000.872: require('bongphysik.plugins.autopairs')
117.586  000.219  000.219: require('nvim-treesitter.compat')
117.853  000.266  000.266: require('nvim-treesitter.tsrange')
118.173  000.319  000.319: require('nvim-treesitter.caching')
118.184  001.181  000.376: require('nvim-treesitter.query')
118.194  001.618  000.437: require('nvim-treesitter.configs')
119.102  000.255  000.255: require('nvim-treesitter.info')
119.412  000.310  000.310: require('nvim-treesitter.shell_command_selectors')
119.430  001.227  000.662: require('nvim-treesitter.install')
121.362  005.043  002.198: require('bongphysik.plugins.treesitter')
122.238  000.331  000.331: require('gitsigns.async')
123.076  000.837  000.837: require('gitsigns.config')
123.481  000.403  000.403: require('gitsigns.debug.log')
123.487  001.947  000.376: require('gitsigns')
123.583  002.219  000.272: require('bongphysik.plugins.gitsigns')
123.585  115.659  000.260: sourcing /Users/hadhikar/.config/nvim/init.lua
123.592  002.500: sourcing vimrc file(s)
124.394  000.601  000.601: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/filetype.lua
124.933  000.114  000.114: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/syntax/synload.vim
125.022  000.542  000.428: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/syntax/syntax.vim
127.009  000.183  000.183: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/gzip.vim
127.184  000.140  000.140: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/health.vim
128.052  000.230  000.230: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
128.157  000.940  000.710: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/matchit.vim
128.367  000.177  000.177: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/matchparen.vim
128.539  000.136  000.136: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/netrwPlugin.vim
128.939  000.235  000.235: sourcing /Users/hadhikar/.local/share/nvim/rplugin.vim
128.944  000.369  000.135: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/rplugin.vim
129.053  000.063  000.063: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/shada.vim
129.133  000.036  000.036: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/spellfile.vim
129.282  000.106  000.106: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/plugin/tarPlugin.vim
